name,meaning,gender,gender_m,gender_f,korean_meaning,celebrity
Aadolf,Distinguished or strong wolf,boy,True,False,"저명한, 강한 늑대",[]
Aaliyah,"Exalted, sublime",girl,False,True,"고귀한, 숭고한","{'name': 'aaliyah', 'net_worth': 10000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['singer', 'model', 'actor', 'dancer'], 'height': 1.71, 'birthday': '1979-01-16', 'age': 22, 'is_alive': False, 'death': '2001-08-25'}"
Aapeli,Breathing,boy,True,False,호흡,[]
Aapo,Father of many nations,boy,True,False,많은 민족의 아버지,[]
Aaron,Mountain of strength,boy,True,False,힘의 산,"{'name': 'aaron watson', 'net_worth': 6000000}"
Aart,As powerful as an eagle,boy,True,False,독수리처럼 강력하다,"[{'name': 'greg rikaart', 'net_worth': 4000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor'], 'height': 1.78, 'birthday': '1977-02-26', 'age': 45, 'is_alive': True}]"
Aatami,Man,boy,True,False,남성,[]
Abarrane,Mother of multitude,girl,False,True,다수의 어머니,[]
Abbas,Stern,boy,True,False,고물,[]
Abbe,Nobleman,boy,True,False,귀족,"{'name': 'allen crabbe', 'net_worth': 25000000}"
Abbey,Intelligent and beautiful,boygirl,True,True,지적이고 아름다운,"{'name': 'abbey lee kershaw', 'net_worth': 4000000}"
Abbott,Father,boy,True,False,아버지,"{'name': 'christopher abbott', 'net_worth': 2000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor', 'film_producer']}"
Abby,My father's delight,girl,False,True,아버지의 기쁨,"{'name': 'abby champion', 'net_worth': 600000}"
Abdiel,Servant of God,boy,True,False,하나님의 종,[]
Abdul,Servant of God,boy,True,False,하나님의 종,"{'name': 'paula abdul', 'net_worth': 30000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'music_video_director', 'television_producer', 'dancer', 'choreographer', 'tv_personality', 'voice_actor', 'singer-songwriter'], 'height': 1.52, 'birthday': '1962-06-19', 'age': 60, 'is_alive': True}"
Abel,Breathing,boy,True,False,호흡,"{'name': 'parker schnabel', 'net_worth': 8000000, 'gender': 'male'}"
Abela,Breathing,girl,False,True,호흡,"[{'name': 'isabela moner', 'net_worth': 3000000}]"
Abelardo,Breathing,boy,True,False,호흡,[]
Abelino,Bird,boy,True,False,새,[]
Abha,Brightness,girl,False,True,명도,"{'name': 'kalabhavan mani', 'net_worth': 10000000, 'gender': 'male', 'nationality': 'in', 'occupation': ['actor', 'singer', 'playback_singer'], 'birthday': '1970-01-01', 'age': 46, 'is_alive': False, 'death': '2016-03-06'}"
Abi,My father's delight,girl,False,True,아버지의 기쁨,"{'name': 'cem habib', 'net_worth': 50000000, 'gender': 'male', 'occupation': ['financier']}"
Abia,God is my father,boygirl,True,True,신은 나의 아버지,"{'name': 'arabian prince', 'net_worth': 500000, 'gender': 'male', 'nationality': 'us', 'occupation': ['disc_jockey', 'rapper'], 'birthday': '1964-06-17', 'age': 58, 'is_alive': True}"
Abigail,My father's delight,girl,False,True,아버지의 기쁨,"{'name': 'abigail ratchford', 'net_worth': 4000000}"
Abijah,God is my father,boygirl,True,True,신은 나의 아버지,[]
Abilene,Born where the grass grows,girl,False,True,"비, n 풀이 자라는 곳",[]
Abimbola,Rich child,boygirl,True,True,부자 아이,[]
Abioye,The son of royalty,boy,True,False,왕족의 아들,[]
Abner,My father is luminous,boy,True,False,나의 아버지는 빛난다,[]
Abra,Mother of multitude,girl,False,True,다수의 어머니,"{'name': 'jj abrams', 'net_worth': 300000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'actor', 'film_score_composer'], 'height': 1.7, 'birthday': '1966-06-27', 'age': 56, 'is_alive': True}"
Abraham,Father of many nations,boy,True,False,많은 민족의 아버지,"{'name': 'john abraham', 'net_worth': 26200000, 'gender': 'male', 'nationality': 'in', 'occupation': ['actor', 'model', 'film_producer'], 'height': 1.82, 'birthday': '1972-12-17', 'age': 49, 'is_alive': True}"
Abram,Father of many nations,boy,True,False,많은 민족의 아버지,"{'name': 'jj abrams', 'net_worth': 300000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'actor', 'film_score_composer'], 'height': 1.7, 'birthday': '1966-06-27', 'age': 56, 'is_alive': True}"
Abrams,Father of many nations,boy,True,False,많은 민족의 아버지,"{'name': 'jj abrams', 'net_worth': 300000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'actor', 'film_score_composer'], 'height': 1.7, 'birthday': '1966-06-27', 'age': 56, 'is_alive': True}"
Abramson,Abraham's son,boy,True,False,아브라함의 아들,"[{'name': 'jill abramson', 'net_worth': 2000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['writer', 'journalist', 'author', 'editor'], 'birthday': '1954-03-19', 'age': 68, 'is_alive': True}]"
Abu,Father of a child,boy,True,False,아이의 아버지,"{'name': 'boy abunda', 'net_worth': 10000000, 'gender': 'male', 'nationality': 'ph', 'occupation': ['journalist', 'presenter', 'talent_manager', 'actor'], 'birthday': '1955-10-29', 'age': 66, 'is_alive': True}"
Acamapichtli,Handful of reeds,boy,True,False,소수의 갈대,[]
Ace,The best one,boy,True,False,최상의 것,"{'name': 'stacey solomon', 'net_worth': 5000000, 'gender': 'female', 'nationality': 'gb', 'occupation': ['singer', 'presenter'], 'height': 1.73, 'birthday': '1989-10-04', 'age': 32, 'is_alive': True}"
Achilles,Warrior,boy,True,False,"와리, ",[]
