name,impression,meaning,gender
Aaliyah,고귀하고 선함,"Elevated, sublime",f
Aaron,희망적이고 행복한,Enlightened; To Sing,m
Abbey,하나님의 사랑,Nunnery,f
Abbie,희망적이고 행복한,Father of Joy,f
Abby,하나님의 사랑,God is Joy,f
Abdullah,하나님의 사랑,Slave of God,m
Abel,하나님의 사랑,A breath,m
Abigail,하나님의 사랑,God is Joy,f
Abraham,리더십과 성취,Father of a Nation,m
Abram,하나님의 사랑,High Father,m
Abril,자연과 도시,April,f
Ada,희망적이고 행복한,"Noble, Kind",f
Adam,태생/근본,Mankind,m
Adan,자연과 도시,Of The Earth,m
Addison,태생/근본,Son of Adam,m
Addison,태생/근본,Son of Adam,f
Adeline,고귀하고 선함,"Noble, Kind",f
Aden,아름다움/사랑/우정,"Handsome, Adorned",m
Aditya,태생/근본,Descendant Of Aditi,m
Adolfo,리더십과 성취,Wolf,m
Adonis,아름다움/사랑/우정,Beautiful,m
Adrian,태생/근본,Of the Adriatic,m
Adriana,외양/색깔,"Dark, Rich",f
Adrianna,태생/근본,A person from Northern Italy,f
Adriel,태생/근본,Congregation,m
Adrien,태생/근본,Person From Hadria (Northern Italy),m
Adrienne,외양/색깔,"Dark, Rich",f
Agustin,지혜로움과 신뢰,"From the name August, Revered, Exalted",m
Ahmad,고귀하고 선함,Greatly praised,m
Ahmed,아름다움/사랑/우정,Most highly adored,m
Aidan,리더십과 성취,Fiery,m
Aiden,리더십과 성취,Fiery,m
Aileen,희망적이고 행복한,Form of Helen - light,f
Aimee,아름다움/사랑/우정,Beloved Friend,f
Ainsley,자연과 도시,My Own Meadow,f
Aisha,자연과 도시,Life,f
Aiyana,자연과 도시,Flower Blossom,f
Alaina,지혜로움과 신뢰,Fair one,f
Alan,아름다움/사랑/우정,Handsome,m
Alana,고귀하고 선함,"Peaceful, serene",f
Alayna,고귀하고 선함,Var. of Alaina - fair one,f
Albert,고귀하고 선함,"Noble, Bright",m
Alberto,고귀하고 선함,"Form of ALBERT, Noble, Bright",m
Alden,지혜로움과 신뢰,Of Old Age,m
Aldo,고귀하고 선함,Old Or Noble,m
Aleah,리더십과 성취,"High, Sublime",f
Alec,리더십과 성취,Protector of Men,m
Alejandra,리더십과 성취,Defender Of Men,f
Alejandro,리더십과 성취,Protector of Men,m
Alena,희망적이고 행복한,Light,f
Alessandra,리더십과 성취,Defender Of Men,f
Alex,리더십과 성취,"From ALEXANDER, Protector of Mankind",m
Alexa,리더십과 성취,Protector of Mankind,f
Alexander,리더십과 성취,Protector of Mankind,m
Alexandra,리더십과 성취,Protector of Mankind,f
Alexandria,리더십과 성취,Defender of Mankind,f
Alexandro,리더십과 성취,"From the name Alexander, Protector of mankind",m
Alexia,리더십과 성취,Defender of Mankind,f
Alexis,리더십과 성취,Protector of Mankind,f
Alexis,리더십과 성취,Protector of Mankind,m
Alexzander,리더십과 성취,"From the name Alexander, Protector of mankind",m
Alfonso,고귀하고 선함,"Eager, Noble",m
Alfred,지혜로움과 신뢰,Counselor,m
Alfredo,휴식/평화,Elf Peace,m
Ali,고귀하고 선함,"Noble, Sublime",m
Alia,고귀하고 선함,"Noble, Descender",f
Alice,고귀하고 선함,"Truth, Noble",f
Alicia,고귀하고 선함,Of Noble Birth,f
Alijah,하나님의 사랑,The Lord is My God,m
Alina,고귀하고 선함,"Noble, Kind",f
Alisa,지혜로움과 신뢰,Rational,f
Alisha,고귀하고 선함,"Truth, Noble",f
Alison,태생/근본,Of Noble Birth,f
Alissa,고귀하고 선함,"Truth, Noble",f
Aliya,리더십과 성취,Defender,f
Aliyah,하나님의 사랑,Ascender,f
Aliza,희망적이고 행복한,Joyful,f
Alize,희망적이고 행복한,Joyful,f
Allan,아름다움/사랑/우정,Handsome,m
Allen,아름다움/사랑/우정,"Fair, handsome",m
Allie,고귀하고 선함,Of Noble Birth,f
Allison,고귀하고 선함,Of Noble Birth,f
Ally,고귀하고 선함,Of Noble Birth,f
Allyson,태생/근본,Of Noble Birth,f
Alma,자연과 도시,Soul,f
Alondra,자연과 도시,Lark,f
Alonso,고귀하고 선함,"From the name Alonzo, Noble And Ready",m
Alonzo,고귀하고 선함,Noble And Ready,m
Alvaro,지혜로움과 신뢰,Extremely Cautious,m
Alvin,외양/색깔,Light skinned,m
Alyson,고귀하고 선함,"Of Noble Birth, Kind",f
Alyssa,지혜로움과 신뢰,Rational,f
Amanda,아름다움/사랑/우정,Worthy of Love,f
Amani,희망적이고 행복한,Peace,f
Amara,건강/장수,Eternal,f
Amari,기타,Unknown,m
Amarion,기타,Combination Of Amar And -ion,m
Amaris,하나님의 사랑,Promised by God,f
Amaya,자연과 도시,Night Rain,f
Amber,아름다움/사랑/우정,Precious jewel,f
Amelia,리더십과 성취,"Industrious, Admiring",f
Amelie,고귀하고 선함,"Industrious, Admiring",f
America,자연과 도시,Land of the Prince,f
Amina,고귀하고 선함,Honest,f
Amir,고귀하고 선함,"Proclaimed, Prince",m
